"Dpt","cp","localite","latitude","longitude","Voix","Data",
"35","35800","DINARD","48.616111","-2.055278","HS","HS",
"38","38250","VILLARD DE LANS","45.068753","5.542889","HS","HS",
"16","16000","ANGOULEME","45.640273","0.155265","HS","HS",
"95","95100","ARGENTEUIL","48.944653","2.250893","HS","HS",
"76","76620","LE HAVRE","49.51677","0.16837","HS","HS",
"59","59100","ROUBAIX","50.689199","3.1805","HS","HS",
"69","69003","LYON","45.75578","4.85936","HS","HS",
"89","89000","AUXERRE","47.796372","3.570324","HS","HS",
"69","69002","LYON","45.742462","4.822013","HS","HS",
"93","93300","AUBERVILLIERS","48.90555556","2.39","HS","HS",
"74","74500","PUBLIER","46.3861111111","6.5630555556","HS","HS",
"75","75003","PARIS","48.864086","2.363233","HS","HS",
"63","63100","CLERMONT FERRAND","45.78769","3.06024","HS","HS",
"83","83500","LA SEYNE SUR MER","43.08127029","5.89036664","HS","HS",
"69","69100","VILLEURBANNE","45.776151","4.867026","HS","HS",
"49","49100","ANGERS","47.4674","-0.55947","HS","HS",
"75","75017","PARIS","48.882997","2.320439","HS","HS",
"93","93110","ROSNY SOUS BOIS","48.87207","2.48818","HS","HS",
"25","25110","GROSBOIS","47.346327","6.31564","HS","HS",
"67","67590","SCHWEIGHOUSE SUR MODER","48.82608","7.75287","HS","HS",
"06","06800","CAGNES SUR MER","43.65996","7.15413","HS","HS",
"01","01600","REYRIEUX","45.925278","4.803611","HS","HS",
"16","16290","SAINT SATURNIN","45.665688","0.03478","HS","HS",
"57","57070","METZ","49.116","6.22822","HS","HS",
"01","01990","SAINT-TRIVIER-SUR-MOIGNANS","46.074156","4.858054","HS","HS",
"91","91170","VIRY-CHATILLON","48.673332","2.363055","HS","HS",
"75","75015","PARIS","48.845072","2.29368","HS","HS",
"93","93110","ROSNY SOUS BOIS","48.866443","2.499986","HS","HS",
"38","38170","SEYSSINET PARISET","45.17250001","5.66888992","HS","HS",
"73","73470","NOVALAISE","45.6105","5.78194","HS","HS",
"76","76200","DIEPPE","49.92465","1.07952","HS","HS",
"38","38250","SAINT NIZIER DU MOUCHEROTTE","45.18861007","5.64499994","HS","HS",
"51","51230","FERE-CHAMPENOISE","48.75971998","3.98028002","HS","HS",
"88","88360","RUPT-SUR-MOSELLE","47.96226","6.61446","HS","HS",
"44","44000","NANTES","47.22159","-1.54697","HS","HS",
"69","69190","Saint Fons","45.70365","4.851134","HS","HS",
"75","75019","Paris","48.88477","2.377172","HS","HS",
"91","91540","MENNECY","48.56523","2.441929","HS","HS",
"30","30110","La Grand Combe","44.2055555556","4.0455555556","HS","HS",
"38","38560","JARRIE","45.1322222222","5.7358333333","HS","HS",
"06","06130","GRASSE","43.66861007","6.89665991","HS","HS",
"38","38760","VARCES-ALLIERES-ET-RISSET","45.081942","5.69045","HS","HS",
"69","69510","Messimy","45.70721998","4.67305994","HS","HS",
"78","78180","MONTIGNY-LE-BRETONNEUX","48.781598","2.029138","HS","HS",
"87","87800","LA MEYZE","45.63055001","1.22861008","HS","HS",
"89","89140","COURLON-SUR-YONNE","48.345727","3.200702","HS","HS",
"76","76510","SAINT-AUBIN-LE-CAUF","49.87389","1.16278","HS","HS",
"62","62700","BRUAY LA BUISSIERE","50.48035","2.55067","HS","HS",
"15","15300","SEGUR LES VILLAS","45.21611118","2.80972221","HS","HS",
"51","51600","SAINTE-MARIE-A-PY","49.22777773","4.53249997","HS","HS",
"29","29470","PLOUGASTEL DAOULAS,","48.35638998","-4.42721987","HS","HS",
"42","42450","SURY LE COMTAL","45.54443","4.19234","HS","HS",
"88","88260","THUILLIERES","48.16333333","6.01083322","HS","HS",
"06","06440","Peillon","43.76777654","7.37222065","HS","HS",
"06","06540","BREIL-SUR-ROYA","43.9508301","7.51026986","HS","HS",
"38","38410","CHAMROUSSE","45.12639133","5.90193945","HS","HS",
"70","70200","LURE","47.69465919","6.47085308","HS","HS",
"66","66720","TAUTAVEL","42.82917011","2.76695004","HS","HS",
"88","88290","Saulxures sur Moselotte","47.94148","6.81568","HS","HS",
"38","38410","VAULNAVEYS-LE-HAUT","45.12250231","5.80416273","HS","HS",
"71","71200","Saint Sernin du bois","46.82777848","4.42860689","HS","HS",
"83","83500","LA SEYNE SUR MER ","43.11896","5.85212","HS","HS",
"26","26400","EURRE","44.7595642","4.99514635","HS","HS",
"41","41150","ONZAIN","47.49000002","1.19333001","HS","HS",
"15","15800","Saint Jacques Des Blats","45.06472223","2.76194449","HS","HS",
"25","25220","Chaleze","47.26347592","6.09580568","HS","HS",
"30","30110","BRANOUX LES TAILLADES","44.21919397","4.008970006","HS","HS",
"38","38410","SAINT-MARTIN-D'URIAGE","45.16786083","5.82415143","HS","HS",
"77","77510","VILLENEUVE-SUR-BELLOT","48.87083991","3.34722004","HS","HS",
"91","91160","CHAMPLAN","48.71387884","2.28285585","HS","HS",
"60","60700","PONT-SAINTE-MAXENCE","49.30873","2.601508","HS","HS",
"25","25115","POUILLEY-LES-VIGNES","47.25361","5.9455","HS","HS",
"25","25370","JOUGNE","46.76222555","6.39222324","HS","HS",
"38","38610","GIERES","45.18756571","5.798712174","HS","HS",
"35","35520","MELESSE","48.21944448","-1.708061484","HS","HS",
"62","62149","ANNEQUIN","50.50218302","2.72303748","HS","HS",
"74","74430","SAINT-JEAN-D'AULPS","46.23999852","6.65722651","HS","HS",
"76","76100","ROUEN","49.41761794","1.07559443","HS","HS",
"75","75020","PARIS","48.848196","2.403015","HS","HS",
"59","59171","Hornaing","50.372464","3.342422","HS","HS",
"90","90300","VALDOIE","47.67487483","6.850335457","HS","HS",
"34","34140","MEZE","43.42565","3.60627","HS","HS",
"92","92310","SEVRES","48.826778","2.223603","HS","HS",
"60","60410","VERBERIE","49.315898","2.742553","HS","HS",
"38","38950","Quaix en Chartreuse","45.24256423","5.739497982","HS","HS",
"11","11700","AZILLE","43.28380542","2.65931271","HS","HS",
"62","62120","RACQUINGHEM","50.69098557","2.345373318","HS","HS",
"64","64100","BAYONNE","43.494956","-1.481971","HS","HS",
"92","92200","NEUILLY SUR SEINE","48.88174831","2.25470357","HS","HS",
"75","75001","Paris","48.859271","2.346693","HS","HS",
"17","17150","BOISREDON","45.33389177","-0.554724363","HS","HS",
"26","26420","LA CHAPELLE-EN-VERCORS","44.97194117","5.453607256","HS","HS",
"77","77580","VILLIERS-SUR-MORIN","48.85777666","2.86944902","HS","HS",
"31","31000","TOULOUSE","43.605298","1.444069","HS","HS",
"50","50700","Brix","49.54894341","-1.56323791","HS","HS",
"22","22560","Pleumeur Bodou","48.808803","-3.518247","HS","HS",
"94","94500","CHAMPIGNY SUR MARNE","48.81362452","2.53269121","HS","HS",
"76","76430","Epretot","49.54073769","0.31436298","HS","HS",
"38","38350","LA MORTE","45.03248812","5.85702146","HS","HS",
"83","83680","LA GARDE-FREINET","43.32610672","6.48111383","HS","HS",
"93","93330","NEUILLY SUR MARNE","48.862801","2.538842","HS","HS",
"27","27220","SAINT-GERMAIN-DE-FRESNEY","48.96221105","1.29031017","HS","HS",
"30","30110","SAINTE CECILE D'ANDORGE","44.242127","3.993313","HS","HS",
"58","58200","COSNE COURS SUR LOIRE","47.40499661","2.931670014","HS","HS",
"59","59500","DOUAI","50.36071883","3.09284133","HS","HS",
"27","27220","Quessigny","48.93245479","1.29588318","HS","HS",
"16","16330","VARS","45.75000005","0.14916005","HS","HS",
"29","29800","SAINT THONAN","48.46972","-4.33056","HS","HS",
"88","88310","VENTRON","47.934439","6.883877","HS","HS",
"37","37320","Saint Branchs","47.233656","0.7665","HS","HS",
"44","44580","BOURGNEUF-EN-RETZ","47.05401413","-1.96520322","HS","HS",
"53","53200","Saint Fort","47.787783","-0.702782","HS","HS",
"15","15300","VALUEJOLS","45.05","2.915964","HS","HS",
"78","78114","MAGNY LES HAMEAUX","48.732013","2.03772","HS","HS",
"62","62150","HOUDAIN","50.46258178","2.55406355","HS","HS",
"38","38250","LANS-EN-VERCORS","45.16236547","5.59693754","HS","HS",
"08","08460","SIGNY-L'ABBAYE","49.716670193","4.426669721","HS","HS",
"59","59260","LILLE-HELLEMMES","50.621527","3.110592","HS","HS",
"43","43800","BEAULIEU","45.118181","3.962628","HS","HS",
"20","20112","ALTAGENE","41.71706197","9.09639054","HS","HS",
"56","56360","SAUZON","47.35269688","-3.216013228","HS","HS",
"38","38180","SEYSSINS","45.14515","5.67574","HS","HS",
"08","08150","AUBIGNY-LES-POTHEES","49.785544613","4.437362672","HS","HS",
"83","83340","LE CANNET-DES-MAURES","43.37443605","6.348364858","HS","HS",
"29","29710","LANDUDEC","47.998568","-4.33502","HS","HS",
"35","35460","SAINT-ETIENNE-EN-COGLES","48.41504409","-1.30604825","HS","HS",
"87","87800","SAINT HILAIRE LES PLACES","45.633799","1.158715","HS","HS",
"70","70240","GENEVREUILLE","47.674244","6.377834","HS","HS",
"75","75012","Paris","48.83348431","2.387612988","HS","HS",
"38","38250","CORRENCON-EN-VERCORS","45.00500388","5.541668703","HS","HS",
"29","29190","BRASPARTS","48.29200922","-3.967361067","HS","HS",
"15","15800","SAINT-JACQUES-DES-BLATS","45.03166055","2.70748811","HS","HS",
"80","80690","Ailly Le Haut Clocher","50.0693","1.99098","HS","HS",
"61","61000","ALENCON","48.41766","0.09228","HS","HS",
"59","59279","FLËTRE","50.764071","2.638411","HS","HS",
"69","69008","LYON","45.73832","4.881717","HS","HS",
"08","08310","JUNIVILLE","49.411526","4.412418","HS","HS",
"38","38440","SAINT-JEAN-DE-BOURNAY","45.4800783","5.14626847","HS","HS",
"26","26420","VASSIEUX-EN-VERCORS","44.88906372","5.35755843","HS","HS",
"76","76870","GAILLEFONTAINE","49.65972","1.62","HS","HS",
"51","51130","VERTUS","48.90222","3.98639","HS","HS",
"38","38320","HERBEYS","45.151708","5.796674","HS","HS",
"53","53300","OISSEAU","48.35050065","-0.677287582","HS","HS",
"11","11160","CASTANS","43.4096334165","2.4827528457","HS","HS",
"75","75019","PARIS","48.88202314","2.392702052","HS","HS",
"77","77111","SOLERS","48.64854522","2.73671158","HS","HS",
"38","38220","VIZILLE","45.08441195","5.7642964","HS","HS",
"87","87200","SAINT-JUNIEN","45.89666","0.9175","HS","HS",
"75","75020","PARIS-20èME","48.86483478","2.398462239","HS","HS",
"75","75013","PARIS-13EME","48.84310558","2.364313048","HS","HS",
"75","75016","PARIS-16EME","48.86297084","2.287019844","HS","HS",
"76","76740","HOUDETOT","49.82083","0.79217","HS","HS",
"20","20132","ZICAVO","41.8883323","9.105559013","HS","HS",
"76","76490","SAINT-WANDRILLE-RANCON","49.52277991","0.76112007","HS","HS",
"16","16320","MAGNAC","45.494189","0.226275","HS","HS",
"38","38860","MONT-DE-LANS","45.00374","6.168184","HS","HS",
